decision_id,record_origin,supersedes_decision_id,report_time,data_cutoff,decision_for_date,horizon_days,scope,original_action,target_funds,position_size,up_probability,flat_probability,down_probability,thesis,trigger_conditions,invalidation_conditions,execution_deadline,expected_nav_date,evaluation_due_date,user_executed,actual_execution_time,actual_nav_date,actual_fee_cny,realized_outcome,actual_return_after_fee,modeled_advice_return_after_fee,hold_return_same_period,benchmark_return_same_period,advice_value_add_vs_hold,max_adverse_excursion,outcome_correct,evaluation_status,error_type,lesson,rule_change,reviewed_at,evidence_sources
DEC-20260721-USER-PLAN-REV1-1250-002,user_declared_plan,DEC-20260721-USER-PLAN-1246-001,2026-07-21T12:50:00+08:00,2026-07-21T12:50:00+08:00,2026-07-21,3,cpo_pcb_electronic_specialty_gas,用户将今日计划从赎回当前剩余40%修正为赎回当前剩余20%;作为隔夜回撤风险折中;尚未确认提交,019024;016371;021528;024481;010004,赎回当前剩余份额20%;若昨日已赎回原仓40%则两日合计减少原仓52%并保留原仓48%,,,,当前半导体和电子修复较强但广度未全确认;用户希望通过小一档赎回减少明日再度暴跌的隔夜暴露,平台确认五只基金的剩余可赎份额;费率;开放状态;预计净值日;实际截止时间,用户取消计划;任一基金不可赎;费率异常;预计净值日不是2026-07-21;可用份额与昨日赎回后数据冲突,2026-07-21T15:00:00+08:00;建议14:30至14:40提交;平台实际截止时间优先,2026-07-21仅限平台实际截止前受理;否则下一开放日,2026-07-24,no,,,,,,,,,,,,planned_not_executed,,在已降原仓40%后再降剩余20%是隔夜风险折中;不应误认为两日累计60%,No permanent rule change; supersedes user 40 percent remaining plan.,,user_message_in_current_thread;data/holdings.csv;data/decision-journal.csv
DEC-20260721-USER-PLAN-1246-001,user_declared_plan,,2026-07-21T12:46:00+08:00,2026-07-21T12:46:00+08:00,2026-07-21,3,cpo_pcb_electronic_specialty_gas,用户考虑今日再赎回CPO PCB和电子特气当前剩余仓位40%;原因是担心暴力反弹后再次暴跌;尚未确认提交,019024;016371;021528;024481;010004,计划赎回当前剩余份额40%;若昨日已赎回原仓40%则两日合计减少原仓64%并剩余原仓36%,,,,用户认为近期存在多次暴力反弹后继续下跌的路径;愿意牺牲部分上涨暴露以减少隔夜回撤,用户主观计划;代理建议等待14:30按修复四项分档,若14:30四项强修复全部成立则取消40%计划;若用户改为风险折中档20%则本计划失效;平台费率份额净值日冲突则取消,2026-07-21T15:00:00+08:00;平台实际截止时间优先,2026-07-21仅限平台实际截止前受理;否则下一开放日,2026-07-24,no,,,,,,,,,,,,planned_not_executed,,必须区分追求最高期望收益与用较低隔夜风险换取心理和回撤容忍度,No permanent rule change; user plan recorded separately from model recommendation.,,user_message_in_current_thread;data/holdings.csv;https://fund.eastmoney.com/pingzhongdata/019024.js;https://fund.eastmoney.com/pingzhongdata/016371.js;https://fund.eastmoney.com/pingzhongdata/021528.js;https://fund.eastmoney.com/pingzhongdata/024481.js
DEC-20260721-MIDDAY-1235-001,native_realtime,DEC-20260720-EVENING-001,2026-07-21T12:40:00+08:00,2026-07-21T11:30:00+08:00,2026-07-21,3,domestic_technology_overlap_after_user_reduction,午间等待且不申购;昨日用户已自主对CPO PCB 电子特气和通信当前仓位各赎回40%但具体基金与份额未入账;今日不按旧晚报重复赎回50%至80%;14:30若修复仍满足2至4项则继续等待;只在四项严重回落全部成立时复核赎回易方达半导体材料设备ETF联接C剩余份额20%,021894,当前赎回0%且申购0元;条件档20%约223.05份仅以账本剩余1115.2586份为模型且需平台复核,0.65,0.20,0.15,科创50涨6.94%和半导体涨6.95%并近午间高位;电子净流入81.34亿元且半导体净流入44.39亿元;上证高于3800但上涨只有2860家未到广度全确认;用户昨日已完成40%结构性降仓所以不应在一日强修复中重复放大赎回,继续等待要求14:30四项修复中至少两项持续:半导体相对沪深300强至少1.5个百分点;电子资金非负;上涨超过3500家;上证高于3800且距日高不超0.8%;条件20%仅在上证<3780且上涨<1800且电子净流出>100亿元且半导体不再强于沪深300时复核,任一昨日赎回对象份额费率或预计净值日与平台冲突;强修复至少两项持续;基金不可赎或费率超过0.5%时取消条件档,2026-07-21T15:00:00+08:00;14:30初检;14:45终检;平台实际截止时间优先,2026-07-21仅限平台实际截止前受理;否则下一开放日,2026-07-24,,,,,,,,,,,,,pending,,上一日已执行的降仓必须先重新定义剩余仓位;不得在旧仓位基础上重复应用新比例,No permanent rule change; temporary same-day override because confirmed user reduction is not yet mapped to exact ledger rows.,,reports/2026-07-20-基金晚复盘.md;reports/2026-07-21-action.md;data/transactions.csv;https://qt.gtimg.cn/;https://push2.eastmoney.com/api/qt/clist/get;https://www.peopleapp.com/column/30052708826-500007607645
DEC-20260719-MONDAY-PREVIEW-REV4-004,native_realtime,DEC-20260719-MONDAY-PREVIEW-REV3-003,2026-07-19T12:46:27+08:00,2026-07-19T12:46:27+08:00,2026-07-20,3,technology_cluster,不全组合清仓且不申购;增加两日时间止损;周一价格修复无资金确认或确认破位时同时降低两只已核验弱势科技基金;周二若仍无资金确认再执行第二档;目标在周二后把明确境内科技主题仓由约34%压到30%以下;弱修复未创新低且流出收窄时等待一天但不得无限等待,019024;010004,周一非真实强修复或确认破位时赎回易方达信息行业精选股票C30%即179.20份并赎回景顺长城电子信息产业股票C20%即346.34份;按7月17日正式净值估算合计约1121元且0.5%费率模型约5.61元;若强修复且资金广度成交额全部确认则只赎回易方达信息行业精选股票C10%即59.73份;若周一未执行或周二14:30仍无资金确认则周二再赎回易方达信息行业精选股票C20%即119.46份和景顺长城电子信息产业股票C15%即259.75份,0.20,0.35,0.45,中芯国际个股在上市约250个交易日后仍较首日收盘低约31%且到2022年相对上市日高点最大回撤约60%;宽基或行业后来修复不能保护高估值龙头及弱势重叠基金;当前明确境内科技主题基金按最新正式净值约占组合34.3%且若三只高同步主动基金被证实科技重仓则上限接近47.8%;因此单次小额减仓不足以控制一年级别趋势风险但全组合清仓仍会错误卖出宽基非科技和不同市场资产,周一非真实强修复指14:45价格反弹但电子或通信仍净流出上涨家数不超过3500成交额进度推算低于3万亿元或未接近日内高位;确认破位指上证<3745且不能收复上涨家数<1000电子净流出>300亿元且科技弱于沪深300超过2个百分点;周二时间止损指周一收盘未形成资金确认且周二14:30科技未收复周五跌幅一半或电子通信仍净流出;所有执行要求平台确认可赎回份额费率截止时间和对应净值日,缩减到最小档的证据为上涨家数>3500电子和通信均净流入成交额推算>=3万亿元且14:45接近日内高位;取消当日申请的条件为平台状态费率截止时间净值日或份额冲突;若周一弱修复守住3745且流出持续收窄可等待但周二不得再次仅以主观不愿卖出延长时间止损,2026-07-20T15:00:00+08:00及2026-07-21T15:00:00+08:00;每日14:30初检14:45终检;平台实际截止时间优先,各笔仅在对应交易日平台实际截止前受理时适用当日正式净值;否则顺延下一开放日,2026-07-24,,,,,,,,,,,,,pending,,宽基继续上涨不等于个股或弱势基金安全;风险控制必须同时设价格阈值时间阈值和组合暴露上限,No permanent parameter change; temporary three-day regime-defense overlay; active-fund exposure and true account drawdown remain unverified.,,data/nav-history.csv;data/holdings.csv;data/funds.csv;data/transactions.csv;data/catalyst-ledger.csv;https://www.sse.com.cn/disclosure/announcement/listing/c/c_20200713_5152912.shtml;https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.688981&klt=101&fqt=1&beg=20200716&end=20221231;https://www.caixin.com/2020-07-24/101584368.html;https://www.chinanews.com/cj/2020/07-16/9239784.shtml
DEC-20260719-MONDAY-PREVIEW-REV3-003,native_realtime,DEC-20260719-MONDAY-PREVIEW-REV2-002,2026-07-19T12:39:42+08:00,2026-07-19T12:39:42+08:00,2026-07-20,2,portfolio,不全组合清仓且不申购;周一强修复但资金未确认或确认破位均赎回一只弱势重叠科技基金20%;强修复且资金广度成交额全部确认时只赎回一只10%;弱修复未创新低且流出收窄时等待;周二仅在第二次确认后再赎回另一只15%,019024;007818;010004,周一默认执行对象为易方达信息行业精选股票C:强修复且资金全部确认10%即59.73份;强修复但资金未确认或确认破位20%即119.46份;若7月17日国泰中证全指通信设备ETF联接C的96.05份未提交且其仍最弱则改为该基金20%即96.05份且两者不同时卖;周二二次确认后再赎回景顺长城电子信息产业股票C15%即259.75份或尚未处理的易方达信息15%即89.60份,0.20,0.35,0.45,募资额前25大IPO严格宽基顶部标准仅5次命中且3次属于同一2007顶部;真正发生在顶部前的预警仅3次;但IPO浪潮在学术和A股样本中确有晚周期含义;当前长鑫发行与科技高拥挤两融收缩广度恶化利好失效重叠使该信号应从一般类比上调为条件式风险放大因子;仍不足以单独支持全组合清仓,确认破位为14:30上证<3745且不能收复上涨家数<1000电子主力净流出>300亿元且半导体或通信弱于沪深300超过2个百分点;强修复资金确认要求上涨家数>3500电子和通信均主力净流入成交额进度推算>=3万亿元且14:45接近日内高位;强修复但资金未确认指价格修复但任一资金广度成交额条件缺失;弱修复等待要求不创新低上证守住3745且流出收窄;所有执行均需平台确认份额费率截止时间和净值日,取消或缩减赎回的证据为上涨家数超过3500电子和通信均净流入成交额推算达到3万亿元且14:45接近日内高位;任何平台状态费率截止时间净值日或份额冲突均取消当日申请;周二若未再次确认则不追加,2026-07-20T15:00:00+08:00及2026-07-21T15:00:00+08:00;每日14:30初检14:45终检;平台实际截止时间优先,各笔仅在对应交易日平台实际截止前受理时适用当日正式净值;否则顺延下一开放日,2026-07-23,,,,,,,,,,,,,pending,,巨型IPO信号在浪潮和市场确认层面有效但单一公司类比容易重复计算同一周期;中芯国际只命中科创50阶段顶部而未命中宽基或半导体最终顶部,No permanent parameter change; two-day downside probability raised to 45% and repair scenario execution refined; historical sample remains clustered and below permanent-rule gate.,,data/nav-history.csv;data/holdings.csv;data/transactions.csv;data/catalyst-ledger.csv;https://finance.eastmoney.com/a/202605273750130795.html;https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.000001&klt=101&fqt=0&beg=20050101&end=20261231;https://www.sse.com.cn/disclosure/announcement/listing/c/c_20200713_5152912.shtml;https://www.nber.org/papers/w9858;https://www.cs.com.cn/xwzx/201606/t20160613_4988234.html;https://www.csrc.gov.cn/shanghai/c103850/c1068949/content.shtml
DEC-20260719-MONDAY-PREVIEW-REV2-002,native_realtime,DEC-20260719-MONDAY-PREVIEW-001,2026-07-19T12:31:09+08:00,2026-07-19T12:31:09+08:00,2026-07-20,2,portfolio,不全组合清仓且不申购;周一14:30若继续破位先赎回一只未充分降仓的弱势重叠科技基金20%;周二只有第二次确认后再赎回另一只15%;若资金和广度真实修复则等待,019024;007818;010004,周一优先赎回易方达信息行业精选股票C的20%即119.46份;若7月17日国泰中证全指通信设备ETF联接C的96.05份未实际提交且其仍最弱则周一改为赎回该基金20%即96.05份且不同时卖易方达信息;若周一收盘仍弱且周二14:30再次确认则再赎回景顺长城电子信息产业股票C的15%即259.75份或尚未处理的易方达信息15%即89.60份,0.20,0.40,0.40,中石油样本说明超大IPO可与泡沫尾部共现但上证历史高点早于其上市20天;工商银行这一当时全球最大IPO上市后牛市仍延续近一年且农业银行上市也未对应牛市顶部;当前真正危险的是科技拥挤两融收缩广度恶化与利好失效共同出现;长鑫周一是中签者缴款而非周二巨量未中签资金解冻,周一14:30上证<3745且不能收复;上涨家数<1000;电子主力净流出>300亿元;半导体或通信弱于沪深300超过2个百分点;平台确认可赎回份额费率截止时间和7月20日净值日;周二追加一档要求周一收盘仍弱且周二14:30再次满足上述条件,任一交易日上证收复3800且上涨家数>2500;电子流出收窄至150亿元以内或转为净流入;半导体通信相对沪深300劣势收窄至1个百分点以内;平台状态费率截止时间净值日或份额冲突,2026-07-20T15:00:00+08:00及2026-07-21T15:00:00+08:00;每日14:30初检14:45终检;平台实际截止时间优先,各笔仅在对应交易日平台实际截止前受理时适用当日正式净值;否则顺延下一开放日,2026-07-23,,,,,,,,,,,,,pending,,大型IPO只能作为风险放大因子不能单独作为全清触发器;把周一单次判断升级为周一周二两次确认的分段科技去风险,No permanent parameter change; downside probability raised for this two-day preview only and sample remains below review gate.,,data/nav-history.csv;data/holdings.csv;data/transactions.csv;data/catalyst-ledger.csv;https://www.sse.com.cn/ipo/rules/others/c/c_20210514_5463626.shtml;https://www.icbc.com.cn/page/721857943787307049.html;https://www.cs.com.cn/xwzx/zt2017/20171016/2017/10/16/detail_201710165515357.html;https://finance.sina.com.cn/stock/y/20071105/21164140230.shtml;https://paper.cnstock.com/html/2026-07/17/content_2245542.htm
DEC-20260719-MONDAY-PREVIEW-001,native_realtime,,2026-07-19T11:50:00+08:00,2026-07-19T11:45:00+08:00,2026-07-20,2,portfolio,周一开盘不申赎;14:30复核;确认破位时只赎回一只弱势重叠科技基金15%-20%;不新增申购,019024;007818,优先019024的15%即89.60份;若7月17日007818赎回未执行且其仍最弱则改为007818的20%即96.05份;两者最多执行一只,0.25,0.45,0.30,周五全市场广度和资金确认去风险但交割结束及美股半导体从低点回升保留技术反弹可能;周末美伊升级和原油跳涨风险压制高估值科技;长鑫7月20日是中签缴款而非巨量未中签资金解冻,14:30上证<3745且不能收复;上涨家数<1000;电子主力净流出>300亿元;半导体或通信弱于沪深300超过2个百分点;平台确认可赎回份额费率和7月20日净值日,上证收复3800且上涨家数>2500;电子流出收窄至150亿元以内;半导体通信相对沪深300劣势收窄至1个百分点以内;平台状态费率截止时间或净值日冲突,2026-07-20T15:00:00+08:00;14:30初检;14:45终检;平台实际截止时间优先,2026-07-20仅限平台截止前受理;否则下一开放日,2026-07-22,,,,,,,,,,,,,pending,,用周五低点3745和修复位3800替代已经明显失真的3900阈值;连续下跌后以资金和广度确认而不是只看跌幅,No permanent parameter change; scenario preview only and sample below review gate.,,data/nav-history.csv;data/catalyst-ledger.csv;data/decision-journal.csv;https://www.sfccn.com/2026/7-17/xMMDE0MDRfMjE4NDUxMw.html;https://apnews.com/article/5adfef67554652580963684d9a663af2;https://www.ndrc.gov.cn/xwdt/xwfb/202607/t20260717_1406562.html;https://paper.cnstock.com/html/2026-07/17/content_2245542.htm
DEC-20260717-REVISED-1440-002,native_realtime,DEC-20260717-FINAL-1439-001,2026-07-17T14:41:00+08:00,2026-07-17T14:40:00+08:00,2026-07-17,3,communication_overlap,将国泰中证全指通信设备ETF联接C的当日赎回上限由20%临时提高至总计30%;不申购且不赎回其他基金,007818,总计30%当时可用份额即144.07份;若已提交96.05份则只追加48.02份,0.10,0.25,0.65,连续三日科技趋势破坏且当日全市场广度恶化;大会具体措施和量子存储论文公布后仍未得到价格与资金确认;已减过的半导体和电子基金不重复追卖,14:40上证<3800;上涨家数<800;电子主力净流出>450亿元;国泰中证全指通信设备ETF联接C盘中估算跌幅<=-8%;平台仍显示按7月17日净值受理,提交前上证收复3820或上涨家数>1200或电子流出收窄至430亿元以内或通信基金估算收窄至-7.5%以内;平台费率份额截止时间或净值日冲突,2026-07-17T15:00:00+08:00;目标14:45前提交;平台实际截止时间优先,2026-07-17仅限平台截止前受理;否则等待下一开放日,2026-07-22,,,,,,,,,,,,,pending,,三日持续破位且正面催化失败使单日临时提高通信重叠仓的减仓上限具有风险预算依据;但真实账户现金和费用未完整所以不扩展到其他基金,No permanent parameter change; one-day sizing override only and sample remains below review gate.,,reports/2026-07-17-基金午报.md;data/decision-journal.csv;data/catalyst-ledger.csv;https://qt.gtimg.cn/;https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData;https://push2.eastmoney.com/api/qt/stock/fflow/kline/get;https://fundgz.1234567.com.cn/
DEC-20260714-NOON-001,native_realtime,,2026-07-14T11:38:00+08:00,2026-07-14T11:30:00+08:00,2026-07-14,1,portfolio,wait now; conditional partial redemption at 14:45,010004;019024,0% now; 15%-20% each only if confirmed break,0.20,0.55,0.25,"Below 3900 and tech deleveraging continue, but breadth and electronic outflow do not confirm a market-wide liquidity break",14:45 SSE<3900 AND advancers<1000 AND electronic main outflow>300bn CNY,SSE recovers 3900; outflow narrows; tech relative weakness stops worsening,2026-07-14T15:00:00+08:00,2026-07-14,2026-07-15,,,,,,,,,,,,,superseded_reviewed,data_quality,该记录被DEC-20260714-FINAL-001取代，不独立计入胜率；保留原始字段用于审计。,,2026-07-16T12:24:00+08:00,"reports/2026-07-14-noon-decision.md;https://qt.gtimg.cn/q=s_sh000001,s_sh000300,s_sh000688,s_sz399006,s_sh000905,s_sh000852;https://data.eastmoney.com/bkzj/;https://finance.sina.com.cn/roll/2026-07-14/doc-inihtmen8599761.shtml"
DEC-20260712-ACTION-001,reconstructed_from_report,,2026-07-12T05:47:35.139Z,2026-07-12,2026-07-12,,,暂不行动,,,,,,没有基金同时通过数据、费用、趋势和风险检查；当前没有通过风险官检查且需要执行的操作,,,,,,,,,,,,,,,,,,,,,,,reports/2026-07-12-action.md
DEC-20260713-ACTION-001,reconstructed_from_report,,2026-07-13T14:20:00+08:00,,2026-07-13,,,暂不行动,,,,,,同步公开净值和申赎状态时没有拿到可用的新数据；行动脚本没有给出可通过风控的赎回草案,,,,,,,,,,,,,,,,,,,,,,,reports/2026-07-13-action-readable.txt
DEC-20260713-EVENING-001,reconstructed_from_report,,,,2026-07-14,1,portfolio,不追反弹；观察最强持仓能否率先转强；14只触发退出审查，金额均为研究草案，不会自动下单,007339;010004;012922;021528;007818;019024;024481;016665;016371;006503;002891;539002;006373;021873,模型市值合计29629.51元,0.20,0.50,0.30,下一交易日先尝试技术修复、随后继续分化，不是确认见底；高位科技去拥挤与盈利验证并行,沪指守3900；上涨家数改善但不足压倒性；电子净流出明显收窄,偏强：连续3个交易日电子/通信主力净流入、上涨家数占优、科技相对沪深300转强；偏弱：沪指跌破关键位后不能收回、成交放大、行业净流出广度维持高位且盈利预期下调,,,,,,,,,,,,,,,,,,,,,reports/2026-07-13-基金晚间决策型复盘-增强版.docx
DEC-20260714-NOON-002,native_realtime,,2026-07-14T13:40:00+08:00,2026-07-14T13:28:00+08:00,2026-07-14,3,portfolio,wait unless 14:45 trigger; conditional structural redemption only,010004;019024,0% now; 010004 15%-20% and 019024 15%-20% only if confirmed break; 010004 10%-15% if strong repair with funds confirmed,0.25,0.55,0.20,SSE recovered 3900 after noon and broad risk is not confirmed broken; tech repair lacks complete money-flow confirmation and account cash/history remain unresolved,14:45 SSE<3900 AND advancers<1000 AND electronic main outflow>300bn CNY for break; strong repair requires advancers>3500 AND electronic/communication inflow AND turnover run-rate>=3tn AND near intraday high,SSE holds 3900; electronic outflow narrows or turns inflow; tech relative weakness stops worsening; platform status or fee preview conflicts,2026-07-14T15:00:00+08:00,2026-07-14,2026-07-15,,,,,,,,,,,,,superseded_reviewed,data_quality,该记录被DEC-20260714-FINAL-001取代，不独立计入胜率；保留原始字段用于审计。,,2026-07-16T12:24:00+08:00,"reports/2026-07-14-基金午报.docx;reports/2026-07-14-noon-decision.md;data/catalyst-ledger.csv;https://qt.gtimg.cn/q=s_sh000001,s_sh000300,s_sh000688,s_sz399006,s_sh000905,s_sh000852;https://fundgz.1234567.com.cn/;https://www.stats.gov.cn/sj/fbrc/bnxxfb/"
DEC-20260714-RECHECK-001,native_realtime,DEC-20260714-NOON-002,2026-07-14T14:18:00+08:00,2026-07-14T14:15:00+08:00,2026-07-14,3,portfolio,conditional structural redemption at 14:45; current state is strong price repair without full funding confirmation,010004,0% before final check; redeem 20% if incomplete-confirmation pattern persists; redeem 10%-15% if full confirmation,0.35,0.50,0.15,SSE was 3942.86 and within 0.13% of the intraday high; 3857 stocks advanced; electronic main flow narrowed to about -3.94bn CNY while communication equipment plus services was about +6.77bn CNY; turnover progress still did not imply 3tn CNY; 010004 estimate was only +0.52%,"At 14:45, if SSE>3900 AND advancers>3500 AND within 0.3% of high, but electronic flow remains negative OR total turnover<2.813tn CNY, redeem 20% of 010004; if electronic and communication are both positive AND turnover>=2.813tn, redeem 10%-15% of 010004","Wait if breadth falls below strong-repair range while SSE holds 3900 and electronic outflow keeps narrowing; cancel if platform redemption status, cutoff, holding-period fee, or share balance conflicts",2026-07-14T15:00:00+08:00,2026-07-14,2026-07-15,,,,,,,,,,,,,superseded_reviewed,information_omission,该记录被DEC-20260714-FINAL-001取代，不独立计入胜率；保留原始字段用于审计。,No permanent parameter change; apply the existing noon rule with a 20% risk cap because account history remains incomplete,2026-07-16T12:24:00+08:00,"config/noon-decision-rules.json;https://qt.gtimg.cn/q=sh000001,sh000300,sh000688,sz399006;https://vip.stock.finance.sina.com.cn/mkt/;https://push2delay.eastmoney.com/;https://fundgz.1234567.com.cn/js/010004.js"
DEC-20260714-FINAL-001,native_realtime,DEC-20260714-RECHECK-001,2026-07-14T14:33:00+08:00,2026-07-14T14:32:00+08:00,2026-07-14,3,portfolio,submit structural redemption now before actual platform cutoff; no subscription and no other redemption,010004,redeem 20% of available shares; modeled 432.92 shares,0.35,0.50,0.15,"User elected to use the 14:32 snapshot as final; SSE was 3952.10 at the intraday high and 4029 stocks advanced, but electronic main flow remained about -4.11bn CNY and turnover of about 2.44tn CNY projected to only about 2.76tn CNY; 010004 estimate was only +0.35% while stronger overlapping technology funds led",Submit only if platform still accepts a 2026-07-14 application and preview confirms redeemable shares and a holding-period redemption fee no higher than 0.5%,"Cancel and wait for the next open day if the platform cutoff has passed, redemption is unavailable, preview fee exceeds 0.5%, or available shares materially differ from the modeled 2164.5993",2026-07-14T15:00:00+08:00,2026-07-14,2026-07-15,true,,,,,,-0.005000,-0.032354,-0.001562,0.027354,,yes_directionally,partially_resolved_pending_actual_fee_and_shares,data_quality,模型20%赎回切片相对持有约增加2.735个百分点、按模型份额约少损失25.47元；真实份额、确认净值和费用未知，不能冒充实际收益。样本不足，不改永久参数。,,2026-07-16T12:24:00+08:00,"config/noon-decision-rules.json;data/holdings.csv;data/fees.csv;https://qt.gtimg.cn/q=sh000001,sh000300,sh000688,sz399006,sz399001,bj899050;https://vip.stock.finance.sina.com.cn/mkt/;https://data.eastmoney.com/bkzj/;https://fund.eastmoney.com/010004.html;https://www.igwfmc.com/main/jjcp/product/010004/detail.html"
